CPU 1 YBLPVDAKDLWAPP1,Combined System Load
2019-01-05 10:40:05,270.6598898
2019-01-05 7:00:04,78.26083034
2019-01-05 11:50:05,-205.639059
2019-01-05 23:30:09,122.05843
2019-01-05 4:40:03,570.8606817
2019-01-05 17:10:07,-134.4406003
2019-01-05 10:30:05,-217.8415393
2019-01-05 10:20:05,262.1608426
2019-01-05 5:00:03,16.66014811
2019-01-05 5:10:03,247.3606584
2019-01-05 22:20:08,-39.142052
2019-01-05 3:00:03,-46.53956031
2019-01-05 1:50:02,122.3609928
2019-01-05 16:00:06,-93.14026802
2019-01-05 3:30:03,-59.54047685
2019-01-05 4:20:03,-240.7389586
2019-01-05 16:00:06,-20.43954904
2019-01-05 0:20:02,-286.6399021
2019-01-05 4:00:03,-75.6397901
2019-01-05 12:10:05,-186.1409909
2019-01-05 2:10:02,-218.6421814
2019-01-05 21:10:08,134.4609073
2019-01-05 3:00:03,56.46026409
2019-01-05 15:00:06,213.9605581
2019-01-05 4:30:03,-153.0393702
2019-01-05 11:20:05,-168.3403894
2019-01-05 17:40:07,-1.140635923
2019-01-05 8:40:04,-104.3393608
2019-01-05 3:20:03,-85.43907079
2019-01-05 7:40:04,-99.94054647
2019-01-05 16:20:07,-140.2383367
2019-01-05 16:20:07,611.2610477
2019-01-05 18:20:07,-183.7403518
2019-01-05 10:20:05,39.8611267
2019-01-05 4:40:03,208.8582789
2019-01-05 2:00:02,215.3610022
2019-01-05 13:50:06,-215.7385791
2019-01-05 15:40:06,-62.54006418
2019-01-05 23:50:09,-28.74095791
2019-01-05 20:40:08,178.8581412
2019-01-05 19:30:07,545.1609978
2019-01-05 13:30:06,-167.0394924
2019-01-05 19:20:07,-279.0404851
2019-01-05 22:20:08,-98.8401273
2019-01-05 3:30:03,74.55997965
2019-01-05 3:10:03,268.9574657
2019-01-05 15:30:06,-15.64013405
2019-01-05 5:20:03,349.2609023
2019-01-05 13:10:06,488.0608646
2019-01-05 16:30:07,430.9613126
2019-01-05 2:00:02,325.8603921
2019-01-05 9:10:04,-46.03906409
2019-01-05 9:40:05,-133.8390067
2019-01-05 5:00:03,-226.4397332
2019-01-05 17:40:07,68.25846178
2019-01-05 3:20:03,186.7600584
2019-01-05 8:30:04,271.6588724
2019-01-05 10:50:05,-207.9395347
2019-01-05 1:10:02,51.75982717
2019-01-05 14:40:06,-239.7403067
2019-01-05 12:50:06,-196.2396632
2019-01-05 5:20:03,-289.0391841
2019-01-05 18:00:07,166.8606786
2019-01-05 15:40:06,246.7609178
2019-01-05 17:50:07,-226.2395684
2019-01-05 10:20:05,262.6585275
